Frequency (Hz)	Level (dB)
43.066406	-123.776031
86.132812	-109.126724
129.199219	-101.086739
172.265625	-95.555519
215.332031	-95.334412
258.398438	-96.916496
301.464844	-96.605949
344.531250	-97.233467
387.597656	-94.398560
430.664062	-93.354904
473.730469	-92.881882
516.796875	-92.672768
559.863281	-91.990082
602.929688	-90.051445
645.996094	-88.110130
689.062500	-87.998222
732.128906	-88.657753
775.195312	-88.501732
818.261719	-88.568611 ----------Breathing data/ frequency present
861.328125	-87.273247
904.394531	-86.798553
947.460938	-84.794075
990.527344	-83.333519
1033.593750	-84.224396
1076.660156	-84.941803
1119.726562	-86.075127
1162.792969	-86.741638
1205.859375	-85.455368
1248.925781	-83.869705
1291.992188	-82.561844
1335.058594	-81.596413
1378.125000	-82.524055
1421.191406	-83.099800
1464.257812	-82.320679
1507.324219	-82.446594
1550.390625	-83.883682
1593.457031	-84.821144
1636.523438	-83.884132
1679.589844	-82.064384
1722.656250	-80.232185
1765.722656	-78.285568
1808.789062	-77.579353
1851.855469	-77.589371
1894.921875	-78.454170
1937.988281	-79.518753
1981.054688	-80.507790
2024.121094	-82.280449
2067.187500	-82.946930
2110.253906	-84.309425
2153.320312	-86.626656
2196.386719	-89.576080
2239.453125	-91.818939
2282.519531	-91.824844
2325.585938	-90.710220
2368.652344	-89.723251
2411.718750	-88.339958
2454.785156	-87.698975
2497.851562	-87.103355
2540.917969	-87.496948
2583.984375	-88.788452
2627.050781	-89.680290
2670.117188	-91.747993
2713.183594	-91.924080
2756.250000	-90.066353
2799.316406	-89.518707
2842.382812	-90.007851
2885.449219	-89.954224
2928.515625	-89.983841
2971.582031	-90.949783
3014.648438	-93.886963
3057.714844	-96.393471
3100.781250	-95.559555
3143.847656	-93.724930
3186.914062	-92.593796
3229.980469	-91.906273
3273.046875	-91.885033
3316.113281	-91.890778
3359.179688	-92.944298
3402.246094	-93.789711
3445.312500	-94.226921
3488.378906	-93.645958
3531.445312	-92.730652
3574.511719	-90.243301
3617.578125	-87.369438
3660.644531	-86.386337
3703.710938	-85.693634
3746.777344	-87.754036
3789.843750	-91.327614
3832.910156	-94.901985
3875.976562	-97.315895
3919.042969	-94.150627
3962.109375	-89.573547
4005.175781	-86.908295
4048.242188	-86.356644
4091.308594	-87.266617
4134.375000	-88.327148
4177.441406	-90.028732
4220.507812	-89.838295
4263.574219	-88.458649
4306.640625	-87.340164
4349.707031	-86.859985
4392.773438	-87.366844
4435.839844	-87.918861
4478.906250	-89.531502
4521.972656	-91.514450
4565.039062	-92.464989
4608.105469	-92.124672
4651.171875	-92.453384
4694.238281	-93.078598
4737.304688	-92.997223
4780.371094	-92.589218
4823.437500	-93.038589
4866.503906	-94.027771
4909.570312	-93.963852
4952.636719	-93.970329
4995.703125	-96.025566
5038.769531	-96.722534
5081.835938	-97.812927
5124.902344	-97.970108
5167.968750	-95.672295
5211.035156	-92.588547
5254.101562	-90.589027
5297.167969	-89.516212
5340.234375	-88.782959
5383.300781	-88.033638
5426.367188	-87.229958
